timestamp,wind_speed,wind_direction,temperature,pressure,power_output,hour,day,month
2025-01-01 00:00:00,7.854,310,18.315,1013.725,323.765,0,1,1
2025-01-01 01:00:00,5.402,327,17.207,1013.601,99.01,1,1,1
2025-01-01 02:00:00,1.959,340,19.998,1012.409,0.0,2,1,1
2025-01-01 03:00:00,2.311,348,20.963,1015.785,0.0,3,1,1
2025-01-01 04:00:00,3.826,355,18.274,1015.203,0.0,4,1,1
2025-01-01 05:00:00,3.567,360,19.823,1009.727,57.655,5,1,1
2025-01-01 06:00:00,5.223,6,22.248,1009.545,77.902,6,1,1
2025-01-01 07:00:00,2.38,14,22.313,1015.773,0.0,7,1,1
2025-01-01 08:00:00,1.429,349,23.119,1012.053,0.0,8,1,1
2025-01-01 09:00:00,4.029,334,22.381,1015.405,0.0,9,1,1
2025-01-01 10:00:00,5.031,315,24.526,1016.842,71.426,10,1,1
2025-01-01 11:00:00,4.155,335,24.265,1010.686,0.0,11,1,1
2025-01-01 12:00:00,4.537,3,23.077,1010.265,5.963,12,1,1
2025-01-01 13:00:00,5.008,325,23.845,1019.523,176.531,13,1,1
2025-01-01 14:00:00,3.289,353,22.41,1015.554,25.36,14,1,1
2025-01-01 15:00:00,2.752,354,20.081,1013.242,40.824,15,1,1
2025-01-01 16:00:00,3.49,11,20.775,1011.698,0.0,16,1,1
2025-01-01 17:00:00,4.422,20,18.411,1012.968,0.0,17,1,1
2025-01-01 18:00:00,2.216,46,19.907,1010.928,43.77,18,1,1
2025-01-01 19:00:00,2.495,49,18.195,1017.15,0.0,19,1,1
2025-01-01 20:00:00,2.429,24,17.586,1012.169,64.549,20,1,1
2025-01-01 21:00:00,3.091,22,16.725,1017.78,7.875,21,1,1
2025-01-01 22:00:00,2.765,31,18.944,1013.297,195.6,22,1,1
2025-01-01 23:00:00,2.025,27,17.43,1011.369,0.0,23,1,1
2025-01-02 00:00:00,3.875,39,17.497,1013.218,23.704,0,2,1
2025-01-02 01:00:00,2.468,38,18.094,1006.625,0.0,1,2,1
2025-01-02 02:00:00,2.375,27,19.798,1014.135,62.264,2,2,1
2025-01-02 03:00:00,0.953,7,20.335,1013.987,29.728,3,2,1
2025-01-02 04:00:00,1.621,0,21.172,1016.972,0.0,4,2,1
2025-01-02 05:00:00,3.38,3,21.964,1008.838,0.0,5,2,1
2025-01-02 06:00:00,3.853,328,24.726,1017.983,83.164,6,2,1
2025-01-02 07:00:00,4.447,314,22.267,1016.959,85.264,7,2,1
2025-01-02 08:00:00,4.686,278,22.586,1018.253,0.0,8,2,1
2025-01-02 09:00:00,6.609,267,22.49,1014.339,150.069,9,2,1
2025-01-02 10:00:00,4.021,288,24.271,1017.539,109.529,10,2,1
2025-01-02 11:00:00,2.196,266,24.748,1010.084,0.0,11,2,1
2025-01-02 12:00:00,2.243,278,22.923,1016.636,15.588,12,2,1
2025-01-02 13:00:00,2.607,329,21.546,1012.184,61.981,13,2,1
2025-01-02 14:00:00,2.336,355,20.922,1009.543,0.0,14,2,1
2025-01-02 15:00:00,3.373,357,21.955,1011.125,0.0,15,2,1
2025-01-02 16:00:00,4.923,11,21.286,1014.514,12.357,16,2,1
2025-01-02 17:00:00,5.627,347,20.275,1012.024,135.486,17,2,1
